Logging to results/training_logs/raw_runs/train_sft_raw_20260511_174855.log
{"batch_size": 4, "epochs": 1, "eval_file": "data/processed/training/hh_rlhf/hh_rlhf_test.jsonl", "fp16": true, "grad_accum": 4, "log_dir": "results/training_logs/raw_runs", "log_steps": 500, "lr": 2e-05, "max_length": 512, "max_prompt_length": 256, "max_samples": null, "model_name": "gpt2", "output_dir": "models/sft", "train_file": "data/processed/training/hh_rlhf/hh_rlhf_train.jsonl"}
Train: 42486 examples | Eval: 2308 examples
train_step epoch 0 | step 328/2656 | loss 2.5691
train_step epoch 0 | step 329/2656 | loss 2.5334
train_step epoch 0 | step 330/2656 | loss 2.7048
train_step epoch 0 | step 331/2656 | loss 2.2113
train_step epoch 0 | step 332/2656 | loss 2.3428
train_step epoch 0 | step 333/2656 | loss 2.5623
train_step epoch 0 | step 334/2656 | loss 2.4406
train_step epoch 0 | step 335/2656 | loss 2.5908
train_step epoch 0 | step 336/2656 | loss 2.5639
train_step epoch 0 | step 337/2656 | loss 2.5294
train_step epoch 0 | step 338/2656 | loss 2.3966
train_step epoch 0 | step 339/2656 | loss 2.7089
train_step epoch 0 | step 340/2656 | loss 2.5400
train_step epoch 0 | step 341/2656 | loss 2.2386
train_step epoch 0 | step 342/2656 | loss 2.4901
train_step epoch 0 | step 343/2656 | loss 2.2174
train_step epoch 0 | step 344/2656 | loss 2.5569
train_step epoch 0 | step 345/2656 | loss 2.0212
train_step epoch 0 | step 346/2656 | loss 2.5153
train_step epoch 0 | step 347/2656 | loss 2.4120
train_step epoch 0 | step 348/2656 | loss 2.5040
train_step epoch 0 | step 349/2656 | loss 2.2865
train_step epoch 0 | step 350/2656 | loss 2.4172
train_step epoch 0 | step 351/2656 | loss 2.4647
train_step epoch 0 | step 352/2656 | loss 2.2059
train_step epoch 0 | step 353/2656 | loss 2.5380
train_step epoch 0 | step 354/2656 | loss 2.4405
train_step epoch 0 | step 355/2656 | loss 2.3871
train_step epoch 0 | step 356/2656 | loss 2.5781
train_step epoch 0 | step 357/2656 | loss 2.5577
train_step epoch 0 | step 358/2656 | loss 2.2976
train_step epoch 0 | step 359/2656 | loss 2.6054
train_step epoch 0 | step 360/2656 | loss 2.8156
train_step epoch 0 | step 361/2656 | loss 2.5748
train_step epoch 0 | step 362/2656 | loss 2.1845
train_step epoch 0 | step 363/2656 | loss 2.1940
train_step epoch 0 | step 364/2656 | loss 2.6415
train_step epoch 0 | step 365/2656 | loss 2.4006
train_step epoch 0 | step 366/2656 | loss 2.3361
train_step epoch 0 | step 367/2656 | loss 2.8383
train_step epoch 0 | step 368/2656 | loss 2.3859
