Logging to results/training_logs/raw_runs/train_dpo_raw_20260511_180032.log
{"batch_size": 2, "beta": 0.1, "epochs": 1, "eval_file": "data/processed/training/hh_rlhf/hh_rlhf_test.jsonl", "fp16": true, "grad_accum": 8, "log_dir": "results/training_logs/raw_runs", "log_steps": 500, "lr": 1e-05, "max_length": 512, "max_prompt_length": 256, "max_samples": null, "model_name": "/content/drive/MyDrive/CS5788/models/sft", "output_dir": "models/dpo", "ref_model_name": null, "train_file": "data/processed/training/hh_rlhf/hh_rlhf_train.jsonl"}
Train: 42486 examples | Eval: 2308 examples
train_step epoch 0 | step 285/2656 | loss 0.7781 | reward_margin -0.0644
train_step epoch 0 | step 286/2656 | loss 0.5920 | reward_margin 0.5234
train_step epoch 0 | step 287/2656 | loss 0.8222 | reward_margin 0.2174
train_step epoch 0 | step 288/2656 | loss 0.7057 | reward_margin 0.3011
train_step epoch 0 | step 289/2656 | loss 0.5326 | reward_margin 0.5248
train_step epoch 0 | step 290/2656 | loss 0.7061 | reward_margin 0.3219
train_step epoch 0 | step 291/2656 | loss 0.5260 | reward_margin 0.6897
train_step epoch 0 | step 292/2656 | loss 0.5688 | reward_margin 0.4295
train_step epoch 0 | step 293/2656 | loss 0.4523 | reward_margin 1.1202
train_step epoch 0 | step 294/2656 | loss 0.4934 | reward_margin 0.7544
train_step epoch 0 | step 295/2656 | loss 0.5981 | reward_margin 0.4524
train_step epoch 0 | step 296/2656 | loss 0.5790 | reward_margin 0.3126
train_step epoch 0 | step 297/2656 | loss 0.7230 | reward_margin 0.7521
train_step epoch 0 | step 298/2656 | loss 0.7344 | reward_margin 0.0503
train_step epoch 0 | step 299/2656 | loss 0.5746 | reward_margin 0.7160
train_step epoch 0 | step 300/2656 | loss 0.5689 | reward_margin 0.4751
train_step epoch 0 | step 301/2656 | loss 0.7344 | reward_margin 0.1628
train_step epoch 0 | step 302/2656 | loss 0.5746 | reward_margin 0.3306
train_step epoch 0 | step 303/2656 | loss 0.5887 | reward_margin 0.4432
train_step epoch 0 | step 304/2656 | loss 0.8851 | reward_margin -0.0066
train_step epoch 0 | step 305/2656 | loss 0.7008 | reward_margin 0.2523
train_step epoch 0 | step 306/2656 | loss 0.8713 | reward_margin -0.0760
train_step epoch 0 | step 307/2656 | loss 0.4977 | reward_margin 0.5743
train_step epoch 0 | step 308/2656 | loss 0.5925 | reward_margin 0.3600
train_step epoch 0 | step 309/2656 | loss 0.5929 | reward_margin 0.6686
train_step epoch 0 | step 310/2656 | loss 0.9489 | reward_margin -0.3290
train_step epoch 0 | step 311/2656 | loss 0.6713 | reward_margin 0.3436
train_step epoch 0 | step 312/2656 | loss 0.7041 | reward_margin 0.4042
train_step epoch 0 | step 313/2656 | loss 0.7531 | reward_margin 0.3012
train_step epoch 0 | step 314/2656 | loss 0.6381 | reward_margin 0.2633
train_step epoch 0 | step 315/2656 | loss 0.8565 | reward_margin -0.1091
train_step epoch 0 | step 316/2656 | loss 0.6938 | reward_margin 0.0900
train_step epoch 0 | step 317/2656 | loss 0.5617 | reward_margin 0.6499
train_step epoch 0 | step 318/2656 | loss 0.4988 | reward_margin 1.1513
train_step epoch 0 | step 319/2656 | loss 0.5857 | reward_margin 0.5916
train_step epoch 0 | step 320/2656 | loss 0.8089 | reward_margin 0.0834
train_step epoch 0 | step 321/2656 | loss 0.7921 | reward_margin -0.0240
train_step epoch 0 | step 322/2656 | loss 0.5768 | reward_margin 0.6055
train_step epoch 0 | step 323/2656 | loss 0.5612 | reward_margin 0.8939
train_step epoch 0 | step 324/2656 | loss 0.4160 | reward_margin 0.8729
train_step epoch 0 | step 325/2656 | loss 0.6382 | reward_margin 0.3640
train_step epoch 0 | step 326/2656 | loss 0.6676 | reward_margin 0.1594
train_step epoch 0 | step 327/2656 | loss 0.6005 | reward_margin 0.2922
train_step epoch 0 | step 328/2656 | loss 0.8622 | reward_margin -0.0599
train_step epoch 0 | step 329/2656 | loss 0.6093 | reward_margin 0.3347
train_step epoch 0 | step 330/2656 | loss 0.6165 | reward_margin 0.3584
train_step epoch 0 | step 331/2656 | loss 0.6141 | reward_margin 0.3035
train_step epoch 0 | step 332/2656 | loss 0.5806 | reward_margin 0.3025
train_step epoch 0 | step 333/2656 | loss 0.5877 | reward_margin 0.3740
train_step epoch 0 | step 334/2656 | loss 0.6112 | reward_margin 0.4472
train_step epoch 0 | step 335/2656 | loss 1.0404 | reward_margin -0.4166
train_step epoch 0 | step 336/2656 | loss 0.6329 | reward_margin 0.4290
train_step epoch 0 | step 337/2656 | loss 1.0974 | reward_margin -0.3640
